"","X","Y","Al","Co","Fe","Filler","Mg","Ni","Hard","Lcode","subset"
"21",25,225,4.9,0.008,35.4,59.396,0.16,0.136,3,"FZ","training"
"30",25,325,0.65,0.016,12.36,74.043,12.55,0.381,0,"SM","training"
"50",50,250,3.6,0.002,2.1,93.954,0.31,0.034,3,"SM","training"
"74",75,175,4,0.036,30.2,63.712,1.15,0.902,1,"SM","training"
"98",75,225,1.4,0.017,9.6,73.338,15.2,0.445,2,"FZ","training"
"121",75,275,1.5,0.032,34.1,62.028,1.22,1.12,1,"FZ","training"
"134",75,325,2.7,0.017,41.7,54.344,0.49,0.749,1,"FZ","training"
"157",100,150,5.8,0.047,38.2,54.531,0.58,0.842,1,"SA","training"
"182",100,200,5.4,0.044,43.4,50.03,0.58,0.546,3,"FZ","training"
"207",100,300,2.4,0.019,25.3,70.063,1.28,0.938,1,"SA","training"
"231",125,75,5.7,0.022,37.9,55.73,0.31,0.338,1,"FZ","training"
"256",125,175,5.5,0.047,45.4,47.895,0.42,0.738,3,"FZ","training"
"283",125,225,7.2,0.027,36.7,55.375,0.24,0.458,1,"FZ","training"
"304",125,275,6.4,0.026,35.5,57.016,0.55,0.508,2,"FZ","training"
"319",125,325,1.8,0.035,21,75.374,0.96,0.831,2,"FZ","training"
"342",150,50,0.5,0.027,7.1,76.339,15.5,0.534,1,"SM","training"
"366",150,100,7,0.034,39.6,52.609,0.16,0.597,2,"FZ","training"
"395",150,150,8.1,0.031,41.9,49.199,0.2,0.57,3,"FZ","training"
"424",150,200,9.6,0.021,38.6,51.247,0.23,0.302,2,"FZ","training"
"452",150,250,9,0.012,33.4,57.141,0.22,0.227,3,"SA","training"
"470",150,300,2.1,0.149,16.8,68.401,11.2,1.35,1,"SM","training"
"489",150,350,8.2,0.021,32.5,58.457,0.42,0.402,2,"FZ","training"
"502",150,400,0.9,0.021,10.9,78.432,9.25,0.497,2,"SA","training"
"520",175,25,8.3,0.004,10.2,81.09,0.35,0.056,1,"SM","training"
"543",175,125,9,0.028,35.6,54.787,0.17,0.415,3,"FZ","training"
"570",175,225,7.3,0.02,38,54.012,0.35,0.318,2,"FZ","training"
"598",175,275,6,0.021,40.4,53.071,0.22,0.288,2,"FZ","training"
"612",175,375,3.5,0.068,21.7,70.942,2.06,1.73,1,"SA","training"
"627",200,100,0.4,0.012,7.4,77.104,14.6,0.484,2,"SM","training"
"653",200,150,1.7,0.616,27,66.534,1.62,2.53,1,"SA","training"
"681",200,200,8.3,0.012,33.5,57.841,0.15,0.197,2,"FZ","training"
"712",200,250,9.3,0.017,35.9,54.245,0.32,0.218,3,"FZ","training"
"733",200,300,3.1,0.111,26.4,65.749,2.67,1.97,2,"SM","training"
"749",200,350,6,0.023,41.4,51.693,0.41,0.474,2,"FZ","training"
