X,Y,Z,BHID,Z_B,Z_E,Al,Co,Fe,Filler,Mg,Ni,Hard,Lcode
25,225,1,1,0.5,1.5,0.2,0.02,6.9,76.794,15.6,0.486,2,3
25,225,2,1,1.5,2.5,0.3,0.029,8.1,76.05,15,0.521,2,3
25,225,3,1,2.5,3.5,0.3,0.025,10.2,73.838,15.1,0.537,2,3
25,225,4,1,3.5,4.5,0.3,0.031,11.4,73.6,14.1,0.569,2,3
25,225,5,1,4.5,5.5,0.2,0.019,6.9,77.484,14.9,0.497,2,3
25,225,6,1,5.5,6.5,0.2,0.029,9.7,74.148,15.4,0.523,2,3
25,225,7,1,6.5,7.5,0.3,0.032,11.5,72.796,14.8,0.572,2,3
25,225,8,1,7.5,8.5,0.5,0.039,16.7,70.461,11.7,0.6,2,3
25,225,9,1,8.5,9.5,1.1,0.031,45.7,50.2,2,0.969,2,3
25,225,10,1,9.5,10.5,1.2,0.031,35.7,60.629,1.66,0.78,2,3
25,225,11,1,10.5,11.5,1.8,0.036,41.7,54.514,0.9,1.05,2,3
25,225,12,1,11.5,12.5,1.3,0.028,39.1,57.612,0.67,1.29,2,3
25,225,13,1,12.5,13.5,1.5,0.03,45.2,51.13,0.63,1.51,2,3
25,225,14,1,13.5,14.5,2.7,0.128,37.5,56.842,1.54,1.29,2,3
25,225,15,1,14.5,15.5,3.5,0.04,34.4,59.31,1.56,1.19,2,3
25,225,16,1,15.5,16.5,5.5,0.019,32.9,59.991,0.67,0.92,2,3
25,225,17,1,16.5,17.5,6.2,0.011,26.9,65.776,0.44,0.673,3,1
25,225,18,1,17.5,18.5,4.3,0.007,25.5,69.315,0.62,0.258,3,1
25,225,19,1,18.5,19.5,4.1,0.007,38.1,57.342,0.25,0.201,3,1
25,225,20,1,19.5,20.5,5.7,0.014,31.8,62.119,0.18,0.187,3,1
25,225,21,1,20.5,21.5,4.9,0.008,35.4,59.396,0.16,0.136,3,1
25,225,22,1,21.5,22.5,4.6,0.002,43.7,51.526,0.13,0.042,3,1
25,225,23,1,22.5,23.5,4.7,0.001,41.5,53.685,0.09,0.024,3,1
25,225,24,1,23.5,24.5,4,0.001,44.7,51.209,0.08,0.01,3,1
25,225,25,1,24.5,25.5,5.2,0.001,38.7,55.9,0.18,0.019,3,1
25,225,26,1,25.5,26.5,5.2,0.002,40.6,53.846,0.33,0.022,3,1
25,325,18,2,17.5,18.5,1.27,0.013,9.59,76.353,12.39,0.384,0,3
25,325,19,2,18.5,19.5,2.23,0.011,7.88,77.082,12.46,0.337,0,3
25,325,20,2,19.5,20.5,0.92,0.013,9.14,75.803,13.75,0.374,0,3
25,325,21,2,20.5,21.5,0.65,0.016,12.36,74.043,12.55,0.381,0,3
25,325,22,2,21.5,22.5,1.33,0.013,13.22,74.456,10.65,0.331,0,3
25,325,23,2,22.5,23.5,1.43,0.011,11.93,78.699,7.7,0.23,0,1
50,250,4,3,3.5,4.5,0.2,0.011,4.4,84.479,10.7,0.21,3,3
50,250,5,3,4.5,5.5,0.2,0.01,4.4,87.245,7.97,0.175,3,3
50,250,6,3,5.5,6.5,0.2,0.009,3.8,85.89,9.91,0.191,3,3
50,250,7,3,6.5,7.5,0.2,0.005,3.4,86.714,9.51,0.171,3,3
50,250,8,3,7.5,8.5,0.2,0.006,3.4,84.893,11.3,0.201,3,3
50,250,9,3,8.5,9.5,0.2,0.01,4.1,82.55,12.9,0.24,3,3
50,250,10,3,9.5,10.5,0.4,0.014,7.8,85.358,6.11,0.318,3,1
50,250,11,3,10.5,11.5,1.1,0.131,30,66.959,0.75,1.06,2,1
50,250,12,3,11.5,12.5,2.1,0.1,36.6,59.14,0.82,1.24,2,1
50,250,13,3,12.5,13.5,2.3,0.095,32,63.165,1.28,1.16,2,1
50,250,14,3,13.5,14.5,1.6,0.092,35.9,60.598,0.71,1.1,2,1
50,250,15,3,14.5,15.5,1.7,0.146,38.8,57.394,0.65,1.31,2,1
50,250,16,3,15.5,16.5,2.9,0.073,39,56.287,0.57,1.17,2,1
50,250,17,3,16.5,17.5,3.5,0.081,34.7,59.899,0.67,1.15,2,1
50,250,18,3,17.5,18.5,3.1,0.01,2,84.083,10.5,0.307,1,3
50,250,19,3,18.5,19.5,4.6,0.003,1.6,93.458,0.27,0.069,1,3
50,250,20,3,19.5,20.5,3.3,0.002,1.9,94.516,0.23,0.052,3,3
50,250,21,3,20.5,21.5,3.6,0.002,2.1,93.954,0.31,0.034,3,3
50,250,22,3,21.5,22.5,3.2,0.002,2.1,94.188,0.47,0.04,3,3
50,250,23,3,22.5,23.5,3.6,0.004,19.7,76.259,0.39,0.047,3,1
50,250,24,3,23.5,24.5,4.1,0.002,1.2,93.797,0.88,0.021,3,1
50,250,25,3,24.5,25.5,8.1,0.003,3.3,87.383,1.17,0.044,3,1
75,175,2,4,1.5,2.5,0.4,0.018,8.7,75.733,14.7,0.449,2,3
75,175,3,4,2.5,3.5,0.5,0.024,11.6,72.118,15.2,0.558,1,3
75,175,4,4,3.5,4.5,0.7,0.031,15.1,67.542,15.9,0.727,1,3
75,175,5,4,4.5,5.5,0.7,0.035,16.5,66.833,15.1,0.832,1,3
